customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-04-09
2,장춘자,F,32,대구,2023-11-12
3,김상현,F,61,성남,2025-02-12
4,김재호,F,55,울산,2025-03-28
5,최준서,F,19,부산,2023-08-16
6,한순자,F,32,성남,2024-01-26
7,이미숙,F,53,인천,2023-11-23
8,조지원,M,32,수원,2025-10-16
9,우영미,M,69,서울,2025-04-05
10,강채원,F,62,울산,2025-05-02
11,김서윤,M,35,대구,2024-06-21
12,김동현,F,66,대전,2024-06-08
13,이영미,F,23,울산,2024-03-25
14,심재호,F,40,대전,2025-06-06
15,서민준,M,69,서울,2024-09-27
16,윤윤서,M,52,부산,2025-08-28
17,황서윤,M,23,성남,2023-09-13
18,이상철,M,58,고양,2026-06-07
19,이은지,M,54,인천,2024-10-15
20,박수민,F,20,인천,2024-05-05
21,이은경,M,23,인천,2026-04-19
22,김현준,F,42,광주,2025-02-17
23,김민석,M,58,대전,2025-06-26
24,이명자,F,41,대전,2024-09-30
25,박현지,F,60,광주,2026-03-09
26,오정수,F,56,대구,2025-03-19
27,윤민석,F,28,수원,2024-11-27
28,곽중수,M,35,성남,2024-05-23
29,김하은,F,61,대전,2026-03-20
30,윤우진,F,32,서울,2024-01-23
31,박지영,M,43,광주,2025-03-12
32,이경수,F,31,고양,2026-05-23
33,류수진,M,31,수원,2023-10-11
34,하미경,M,59,수원,2025-01-22
35,권정훈,F,34,대구,2023-12-27
36,최상훈,F,65,성남,2026-03-22
37,김영철,M,65,고양,2025-10-17
38,이현준,M,55,울산,2025-07-21
39,박민석,M,32,대구,2024-04-11
40,최상현,M,23,서울,2024-04-06
41,강상현,F,27,대구,2026-04-27
42,김서현,M,56,부산,2025-08-11
43,김진우,M,42,고양,2025-04-25
44,안준서,M,51,광주,2024-03-04
45,이승현,F,61,부산,2025-01-01
46,장현지,M,67,대전,2023-11-24
47,이준호,F,36,울산,2024-05-07
48,박승현,F,47,서울,2024-06-09
49,유시우,M,50,대구,2026-03-10
50,김혜진,F,58,광주,2026-02-10
51,남지혜,F,27,대전,2024-02-07
52,김승민,F,52,성남,2023-10-12
53,민상훈,F,56,대전,2025-12-15
54,이진호,M,19,부산,2026-08-03
55,오민지,M,69,광주,2024-06-29
56,최유진,F,21,인천,2025-11-05
57,최영일,F,23,수원,2026-02-28
58,성도현,F,66,성남,2024-02-28
59,장서현,F,26,수원,2023-12-18
60,김은서,F,34,성남,2025-06-17
61,최영진,M,31,성남,2026-05-29
62,오상호,F,63,광주,2024-10-15
63,이숙자,M,60,대전,2025-11-10
64,박현준,M,51,수원,2026-08-04
65,김상훈,F,33,인천,2026-05-27
66,양영미,F,39,서울,2024-01-28
67,한은영,F,55,인천,2026-07-26
68,김지은,F,22,서울,2024-07-02
69,심미정,F,22,서울,2023-12-13
